Institution Name,Location,Academic Reputation,Employer Reputation,Faculty Student,Citations per Faculty,International Faculty,International Students,International Research Network,Employment Outcomes,Sustainability,Overall
Stevens Institute of Technology,US,2.7,2.9,4.7,52.4,37.5,91.4,1.2,12.2,1.1,-
Boston College,US,20.5,12.9,19.3,21.5,12,18.3,9.1,38.4,15.9,-
University of New Mexico,US,11.6,13.9,38.3,16.4,15.7,4,57.5,9.3,33.8,-
New Jersey Institute of Technology (NJIT),US,3.9,6.1,14,27.5,84.5,69.9,1.9,9.9,20.5,-
The New School,US,15.9,14.9,44.3,2.8,6,91.7,1.2,24.7,1.1,-
University of Houston,US,13.9,10.9,4.5,34,8.5,9.3,34,29.2,27.8,-
University of Oklahoma,US,9.6,10.6,16.3,34.3,34.5,5.1,17.9,17.2,33.5,-
Brandeis University,US,9.8,4.3,49.9,16.3,26.2,70.6,1.4,17.4,1.5,-
University of Kentucky,US,10.9,11.5,18.9,26.1,20.9,3.7,40.6,13.6,24.1,-
University of Cincinnati,US,12.3,7.6,21,25.8,6,10.8,32.1,20,31.3,-
Wake Forest University,US,5.4,6.1,100,11,5.4,13.5,5.5,16.5,2.3,-
"University of Maryland, Baltimore County",US,10.6,13.1,13.4,18.1,59.4,15.9,6.2,10.8,38.7,-
Temple University,US,12.5,7.9,26.4,18.8,3.4,5.7,48.1,18.3,23,-
"University of Colorado, Denver ",US,8.4,6.3,100,4.9,3.6,9,2.3,8.4,15.2,-
University of Oregon,US,17.7,8.6,11.2,24,12.5,4.5,8.9,18.3,30.7,-
Swarthmore College,US,3.4,1.8,85.9,17,5.4,28.8,1,18.5,,-
Wayne State University,US,7.8,3.2,64.7,12.3,12.5,4.8,41.9,15.4,6.4,-
Virginia Commonwealth University,US,6.7,16.5,43.1,13.7,15.9,3.2,39.2,12.4,12,-
Rutgers University–Newark,US,11.1,5.2,15.5,19.3,26.3,46.8,2.2,28.6,15.4,-
University at Albany SUNY,US,8.6,4.5,5.3,41.8,4.2,6,23.2,9.4,23.9,-
Syracuse University,US,13.6,9.6,11.8,13.7,4.8,44.1,11.1,30.2,23,-
University of Alaska Fairbanks,US,3.1,3.2,99.6,13.4,6.7,3.1,4.6,8.4,,-
American University,US,16.2,22.8,30,4.1,3,15.6,1.2,33.3,3,-
Clarkson University,US,1.6,2.4,16.9,39,64.7,8.6,2.6,10.7,1.2,-
Auburn University,US,7.2,8.5,7.4,19,23.9,7.8,14.3,17.4,53.4,-
Clark University,US,3,5.3,23.4,18.3,14.2,72.6,1.2,14.9,33.2,-
Louisiana State University,US,9.7,8.3,7.1,16.2,10.1,4.1,15.5,17.2,70.7,-
Texas Tech University,US,11,11.8,5,15.3,8.5,7.1,20.3,13.7,56.1,-
University of Massachusetts Boston,US,11.9,4.9,11.5,27.5,5.9,9.6,2.3,7.6,40.2,-
Clemson University,US,8.3,10.8,12.9,16.7,8.3,4.5,36.4,11.1,32.1,-
Georgia State University,US,11.7,13.6,4.9,20.3,10.5,7.4,17,16.1,11.8,-
Kansas State University ,US,8.9,8,12,20,24,5.2,19,13,26.1,-
Michigan Technological University,US,4.4,4.2,26,32.1,19.6,9.4,8.3,8.6,3.2,-
Oklahoma State University ,US,8.4,9.7,10.7,15.1,37.3,4.3,23.4,16.6,20.9,-
Wesleyan University,US,4.4,1.8,63.5,8.6,18,16.8,1,27.7,,-
Worcester Polytechnic Institute,US,3.9,5.7,17.1,27.5,42.7,24.2,1.7,11.8,1.3,-
College of William and Mary,US,8.3,10.6,25.7,15.6,6.9,6.8,2.5,21.4,8.1,-
Loyola University Chicago,US,8.7,29.6,21.3,8,7.4,3,1.6,13.1,2.5,-
St. Louis University,US,4.2,2.7,66.3,11.1,16.5,6.5,2.1,11.1,,-
"University of Alabama, Birmingham",US,6.7,4.3,49.4,18,,,8.9,7.3,,-
University of Denver,US,5.3,7.5,45.7,11.1,2.4,5.6,3.3,23.1,18.8,-
University of Vermont,US,3.3,3.2,53.2,12.8,3.3,2.5,14.5,14.6,20.3,-
West Virginia University,US,6.4,6.2,11.7,21.5,6.5,5.2,25.4,14.1,20.3,-
George Mason University,US,9,6,12.6,11.4,12.4,10.6,17.2,14.5,28.6,-
Indiana University–Purdue University Indianapolis,US,7.7,6.1,15.4,17,29.4,5.8,2.6,7.7,8.5,-
The University of Alabama,US,9.7,19,5.9,12.8,8.9,2.7,8.8,13.3,16.3,-
Baylor University,US,6.1,16.8,11.7,8.3,2.4,3.8,3.5,12.8,3.8,-
Binghamton University SUNY,US,6.8,4.8,6.2,16.9,8,9.9,1.6,10.8,3.9,-
Brigham Young University,US,7,5.3,4.6,13.3,1.3,3.3,8.2,22,7,-
Fordham University ,US,6.4,7.3,15.4,5.9,7.8,14.6,1.5,24.7,1.3,-
Howard University,US,6.5,7.7,46.7,3.4,1.1,3.8,2.6,16.1,1.2,-
Kent State University,US,5.9,4.1,6.6,15.1,27.2,4.8,7.5,10.4,4.4,-
Mississippi State University,US,6,5.8,6.7,18.4,15.7,3.2,9.2,10.8,11.7,-
Northern Arizona University,US,6.5,6,4.8,12.2,2.8,2.4,7.4,9.1,12.4,-
Ohio University,US,8.5,9.3,5.5,14.3,5.5,3.9,15.1,15.5,3.9,-
Rochester Institute of Technology (RIT),US,6.2,9.4,19.8,7.6,5,17.7,7.8,17.3,1.9,-
San Diego State University,US,5.2,3,3.2,17.1,6.5,4.4,27.1,17.8,23.7,-
Southern Methodist University,US,5.2,3.8,28,8.6,13,8.8,2.7,30.5,1.6,-
The University of Texas at Arlington,US,5.2,4.7,4.7,10.4,2.3,20.5,7.9,10,34.3,-
University of Arkansas Fayetteville ,US,6.8,4.3,6.6,11.9,5.1,3.2,7.1,15.7,6.2,-
University of Idaho,US,3.7,1.4,12.2,34.7,5.4,5,2.5,8.3,,-
University of Louisville,US,3.5,4.5,24.9,10.1,34.8,3.3,15.8,12.5,,-
University of Mississippi,US,4.3,3.2,36.6,8.9,14.5,2.9,12.5,8.4,4.1,-
"University of Missouri, Kansas City",US,4.7,5.1,17.8,17.5,5.1,13.5,2.5,9.7,1.3,-
University of New Hampshire,US,5.5,4.3,11.4,18.7,10.8,3,5.7,10.3,11.6,-
University of North Carolina at Charlotte,US,5.7,4.5,5,14.1,8.7,5.5,14.4,10.6,23,-
University of North Texas,US,7,6.8,3.4,19.3,4.9,14.7,9.6,25.5,8.9,-
University of Rhode Island ,US,5.6,2.8,6.9,16.7,5.1,2.7,3.3,12.7,58.6,-
University of San Francisco,US,6.6,4,17,4.5,1.8,20.3,1,22.8,1.1,-
University of Texas at San Antonio,US,6.2,3,3.7,25.2,13.5,2.8,17.6,8.8,5.9,-
University of Texas El Paso ,US,4.8,2.1,5.6,15.6,10.5,5.9,15.5,7.5,3.4,-
University of Toledo,US,3.8,4.4,8.7,21.4,9.6,8.8,5.1,10.3,,-
University of Tulsa,US,2.4,3,37.8,12.3,5.1,12.2,1,15.4,1.1,-
University of Wisconsin Milwaukee ,US,8.3,2.7,8.8,13.4,6.6,3.9,4.1,10.2,11.8,-
University of Wyoming,US,3,1.4,25.9,23.4,7.7,4,10.7,9.8,6.3,-
Utah State University ,US,6.6,3.2,6.3,24.4,1.1,1.7,23.8,9.5,15.8,-
Western Michigan University,US,5.3,3.6,10.8,5.8,32.3,10.4,2.2,17,1.9,-
California Polytechnic State University,US,3.7,9.3,7,3.4,,,1.5,13.2,,-
Central Michigan University,US,3.6,4.2,7.8,8.1,3.5,3.1,2.1,10.8,,-
Cleveland State University,US,4.3,4.2,8.9,4.8,4.3,17.2,1,11.1,,-
CUNY The City College of New York,US,6.2,1.8,11.4,15,4.3,5.5,1.5,6.9,,-
Florida Atlantic University - Boca Raton,US,4.9,3.8,5.6,10.1,10.2,3.6,7.2,9.5,3.4,-
Indiana State University,US,6.3,4.8,7.8,2.8,1.9,2.4,1,9.1,1,-
Marquette University,US,3.4,3.8,23.7,9.3,6.8,2.7,1.5,13.2,1.1,-
Miami University,US,4.2,4.7,6.5,8.7,6.5,6.6,1.2,23,4.1,-
Nova Southeastern University,US,2.9,3.3,14,3.1,4.4,3.9,1.1,10.2,,-
Portland State University,US,4.3,2.1,9.5,10.5,1.6,5.3,4.9,10.3,18.4,-
"Rutgers, The State University of New Jersey, Camden",US,3.9,3,17.6,4.3,22.2,3,1,6.9,,-
San Francisco State University,US,4.9,2.4,5.2,4.8,4.5,6.8,1.5,10.9,,-
Seattle University,US,5.4,4.2,29.3,2.4,1.5,13.9,1,13.6,1,-
University of Central Oklahoma,US,3.8,1.5,7.9,1.4,16.8,10.9,1,9.4,,-
University of Memphis,US,3.1,5.1,14.9,8.9,2.1,4.4,5,10.7,,-
University of Missouri Saint Louis,US,4,3.6,16.2,14.2,4.8,4.2,1,11.5,,-
University of Montana Missoula ,US,2.5,2.6,11.8,9.2,1.3,1.7,1,8.3,3.5,-
University of North Carolina at Greensboro,US,2.9,2.8,9.2,10.6,9.7,2.6,7.6,7.1,,-
University of San Diego,US,6.8,4.4,24.9,2.8,3.1,6,1,17.2,1,-
University of South Alabama (USA),US,5.3,4.4,17.3,6.5,,1.8,1.1,7.6,1.2,-
University of the Pacific,US,2.2,3.7,34.3,3.4,4.2,7.2,1,10.8,1,-
California State University - Los Angeles,US,5.4,2.5,3.5,3.2,4,5.6,1.1,9.5,,-
California State University Long Beach,US,4,2.8,8.1,,,,,9.6,,-
Humboldt State University,US,3.8,2.2,8.9,4.6,2.3,1.6,1,7.9,,-
Illinois State University,US,3.7,3.5,5.9,5.2,4.9,2.5,1.1,10.9,,-
Western Washington University,US,2.8,3.4,7,4.3,14.5,1.4,1,7.3,,-
